cohort,product,outcome_class,realised_sold_gbp,evidence,target_retail_available,notes
1,Stanley IceFlow Tumbler 20oz,identity_fail,38.73,"sold comps all 40oz at GBP38.73; 20oz market unproven",unknown,"size-variant trap; 40oz like-for-like negative (supply $45 full price)"
1,Brooklinen Heathered Cashmere King,promising,60.0,"1 sold $81.18 King new; another listing $69; pre-owned Standard $24",no,"size drives price (24-81 spread); advisor: most interesting of six"
1,Ridge Daily Driver Lavender,price_fail,55.5,"exact Lavender kit sold $75; second listing ended unsold at $95",unknown,"buy 65.17 cannot clear fees at realised 55"
1,Brooklinen Classic Percale Std,price_fail,20.0,"repeated sales: 3 sold $25 + 4 sold $29.99",no,"real demand; buy 10.80 leaves GBP2-4 after fees; ask median was bundle-polluted"
1,Taylor Stitch Eddy Cardigan,price_fail,51.8,"exact new merino sold $69.99; active new $85",unknown,"buy 72.50 dead at realised 52"
1,Allbirds Womens Dasher NZ,price_fail,58.6,"10 sold at $79.19 on one listing",unknown,"strong demand, buy 49.30 ~breakeven after fees"
1,Allbirds Mens Dasher NZ,price_fail,58.6,"1 sold $79.19",unknown,"same economics"
1,Brooklinen Washed Classic Percale,price_fail,16.0,"active exact $20-22.49 vs scanner ask 55.79",no,"ask median bundle-polluted"
2,GSI Pioneer Tablespoon,identity_fail,,"eBay market is 3pc/12pc SETS not single utensils",unknown,"set contamination; auto-rejected by comp v2"
2,GSI Pioneer Knife,identity_fail,,"same",unknown,"same"
2,GSI Pioneer Fork,identity_fail,,"same",unknown,"same"
2,Satechi 100W GaN charger,price_fail,49.7,"ended new listings GBP59.42 and GBP39.75; comp pool had zero actual 100W chargers",unknown,"identity-phantom pool + realised 40-60 vs est 78"
2,Goal Zero Basecamp 4,price_fail,59.0,"retail $80 4-pad MagSafe station; GBP201 ask median was adjacent-product pollution",unknown,"comp lied, buy signal real"
2,Fellow Carter 3-in-1 lid,bundle_fail,32.5,"indexed sold ~GBP33 is FULL MUG+3 lids; UK retail exact 39.99-49",yes,"n=1 GBP153.77 comp not executable"
2,Our Place Beechwood Spatulas,price_fail,13.0,"exact set GBP15 at Our Place UK",yes,"GBP60 median not credible"
2,Our Place Beechwood Spoons,price_fail,13.0,"US retail $11.99; UK sets ~GBP15",yes,"same"
2,Peak Design V1 Loop Charcoal,price_fail,13.5,"exact SKU GBP13.50 at Peak Design UK",yes,"retail-available: no scarcity premium; buy 12.80"
2,Peak Design V1 Loop Redwood,price_fail,13.5,"exact SKU M-LC-BL-RD-1 GBP13.50 PD UK",yes,"counted as one family with siblings"
2,Peak Design V1 Loop Sage,price_fail,13.5,"same",yes,"same family"
2,Peak Design V1 Loop Sun,price_fail,13.5,"same",yes,"same family"
2,Peak Design PD Certified bags,condition_fail,,"refurb buy leg vs new comps; excluded by condition gate",unknown,"never verified further"
2,Goal Zero Yeti 200X open box,condition_fail,,"open-box buy leg",unknown,"same"
2,Twelve South SuitCase 16in,real,31.15,"exact new 16in GBP31.95 with 4 sold; independent UK market 30.35-31.95",no,"buy 7.32; TS UK store does not carry it; THE benchmark"
2,Twelve South ActionSleeve,hold,,"12-2035 = smaller Watch size; mfr clearance $4.99; single comp",no,"needs one exact sold result"
3,Chemical Guys Leather Care kit,unverified,,,unknown,"n=5 comps; kit-contents risk"
3,Chemical Guys Foam Wash kit,unverified,,,unknown,"n=6 comps"
3,Chemical Guys 3x n=1 kits,unverified,,,unknown,"thin"
4,Cotopaxi Repleto Down Jacket,identity_fail,,"sold Cotopaxi results are FUEGO items not Repleto",unknown,"brand-adjacent contamination despite n=40 clean comps"
4,Cotopaxi Fuego Down Pant,hold,,"genuine Fuego sold demand exists; each variant needs price/size sanity",unknown,"advisor hold"
4,Cotopaxi Fuego Down Overall,hold,,"same",unknown,"same"
4,Skullcandy Icon ANC,hold,,"exact product; realised-price range too wide to trust CM",unknown,"not dead, uncertain"
4,Cotopaxi Mente 22L Tote,price_fail,,,unknown,"advisor: everything else price fail"
4,Cotopaxi Todo 3L Bucket,price_fail,,,unknown,"same"
4,Cotopaxi Coraje Cargo Pant,price_fail,,,unknown,"same"
4,Rightline Gear Sport Jr,price_fail,,,unknown,"same"
