id,priority,candidate,sku,product_type,supply_local,buy_gbp,ask_median_gbp,haircut_sell_gbp,est_cm_gbp,active_listings,known_evidence,supply_url,sold_check_url,match_status,match_query_used,match_confidence,match_notes,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes
31,1,Twelve South SuitCase for MacBook 16-inch Pro,12-2018,Cases & Covers,USD 9.99,7.32,52.75,31.65,11.55,4,USER: exact new 16in listing GBP31.95 with 4 sold -- matches haircut est. STRONG,https://twelvesouth.com/products/suitcase-for-macbook?variant=32898494201913,https://www.ebay.co.uk/sch/i.html?_nkw=Twelve+South+SuitCase+for+MacBook+16-inch+Pro&LH_Sold=1&LH_Complete=1,,,,,,,,
32,1,Twelve South SuitCase for MacBook 14-inch Pro,TS-2203,Cases & Covers,USD 9.99,7.32,52.75,31.65,11.55,4,USER: exact new 16in listing GBP31.95 with 4 sold -- matches haircut est. STRONG,https://twelvesouth.com/products/suitcase-for-macbook?variant=40835900309561,https://www.ebay.co.uk/sch/i.html?_nkw=Twelve+South+SuitCase+for+MacBook+14-inch+Pro&LH_Sold=1&LH_Complete=1,,,,,,,,
33,2,Satechi 100W USB-C PD Compact GaN Charger,ST-TC100GM-AU,Wall Chargers,USD 59.99,43.93,130.18,78.11,17.75,48,"USER: ended new listings ~GBP40-60 (59.42, 39.75). Likely price-fail at our GBP78 est",https://satechi.net/products/100w-usb-c-pd-compact-charger?variant=39973229625432,https://www.ebay.co.uk/sch/i.html?_nkw=Satechi+100W+USB-C+PD+Compact+GaN+Charger&LH_Sold=1&LH_Complete=1,,,,,,,,
34,3,Goal Zero Basecamp 4,95008,Wireless Charging Pad,USD 50.97,37.32,201.38,120.83,52.33,1,CLAUDE: retail $80 4-pad MagSafe station; GBP201 ask median contaminated (Yeti?). Realised ~GBP59 -> thin,https://goalzero.com/products/basecamp-4-magsafe-wireless-charging-pad?variant=44773332943017,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Basecamp+4&LH_Sold=1&LH_Complete=1,,,,,,,,
35,4,Our Place Perfect Pot Roasting Rack,ADD.RRK.ESN.NON,add-ons,USD 25.99,19.03,91.54,54.92,19.51,5,,https://fromourplace.com/products/perfect-pot-roasting-rack?variant=43484588572866,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Perfect+Pot+Roasting+Rack&LH_Sold=1&LH_Complete=1,,,,,,,,
36,5,Our Place Beechwood Spatulas,ADD.SPA.SOT.NAT,add-ons,USD 11.99,8.78,82.75,49.65,26.94,27,,https://fromourplace.com/products/beechwood-spatulas?variant=39583567413442,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Beechwood+Spatulas&LH_Sold=1&LH_Complete=1,,,,,,,,
37,5,Goal Zero Yeti Tank PRO 4000 Locking,96150,,USD 9.97,7.30,58.55,35.13,15.21,1,,https://goalzero.com/products/yeti-tank-pro-4000-locking-latch-kit?variant=43232346177705,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+Tank+PRO+4000+Locking&LH_Sold=1&LH_Complete=1,,,,,,,,
38,5,Our Place Beechwood Spoons,ADD.SPN.2NH.NAT,add-ons,USD 11.99,8.78,58.58,35.15,14.61,17,,https://fromourplace.com/products/beechwood-spoons?variant=42443135680706,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Beechwood+Spoons&LH_Sold=1&LH_Complete=1,,,,,,,,
39,5,Native Union City Sling I Emilie Sarnel,SLING-UNI-BLU-ES,Slings,USD 19.99,14.64,62.53,37.52,11.02,2,,https://nativeunion.com/products/city-sling-i-emilie-sarnel-limited-edition?variant=42909315661963,https://www.ebay.co.uk/sch/i.html?_nkw=Native+Union+City+Sling+I+Emilie+Sarnel&LH_Sold=1&LH_Complete=1,,,,,,,,
40,6,Satechi USB-C Magnetic Wireless Charging Cable,ST-UCQIMCM,Cables ## Wireless Chargers,USD 5.99,4.39,32.95,19.77,6.85,16,,https://satechi.net/products/magnetic-wireless-charging-cable?variant=33506191605848,https://www.ebay.co.uk/sch/i.html?_nkw=Satechi+USB-C+Magnetic+Wireless+Charging+Cable&LH_Sold=1&LH_Complete=1,,,,,,,,
