id,candidate,ebay_presence,review_priority,try_query_style,guidance
1,Brooklinen Washed Classic Percale Pillowcase Set,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
2,Brooklinen Organic Cotton Pillowcase Set,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
3,Brooklinen Classic Percale Pillowcase Set,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
4,Brooklinen Washed European Linen Pillowcase Set,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
5,Brooklinen Sesame Street Pillowcase Set,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
6,Stanley 10 OZ,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
7,Jeffree Star Cosmetics Hi How Are Ya,strong_new,2-best odds,Jeffree Star {product},Strong new-in-box market for PALETTES. Our rows are apparel/bundles - thinner. Try product name without 'Cosmetics'.
8,Stanley IceFlow Bottle with Fast Flow Lid,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
9,Gymshark | Be a visionary. VItal Warm,strong_new,2-best odds,Gymshark {line} {generation},New sealed listings exist. Vocabulary is line + generation: 'Vital Seamless 2.0'. Ours is 'Vital Warm' - search 'Gymshark Vital Warm leggings'.
10,Visa Cash App Racing Bulls Las Vegas,strong_new,2-best odds,Racing Bulls {product} Las Vegas,Team merch: search team name + item + GP.
11,Stanley The IceFlow Tumbler with Fast Flow,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
12,Allbirds Men s Runner Protect,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
13,Brooklinen Heathered Cashmere Pillowcases,none,1-fastest (instant no_match),Brooklinen {type},"No UK pillowcase-set presence found (one sheet set, one flat sheet, both one-offs). Expect no_match fast - do these rows first, they cost seconds each."
14,Stanley 1913 The Essentials Case,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
15,Stanley 1913 Quencher Boot and Straw Cover,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
16,Stanley 1913 The Stay Smooth Straw Topper,strong_new,2-best odds,Stanley {line} {size-metric},Sellers use line names + METRIC size: 'Aerolight IceFlow Fast Flow 0.6L' not 'IceFlow Bottle with Fast Flow Lid 24oz'. Convert oz->L. Accessories (boot/straw topper/case) search by 'Stanley Quencher boot' style phrasing.
17,Allbirds Women s Tree Topper,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
18,Ridge Phone Case - Carbon,strong_new,2-best odds,Ridge Wallet {material},"Active new market. Sellers lead with 'Ridge Wallet' even for cases/keycases, then material: 'MagSafe Carbon Fiber 3K'. Phone case -> 'Ridge Wallet Case iPhone <model>'."
19,The Ridge Mini Folder,strong_new,2-best odds,Ridge Wallet {material},"Active new market. Sellers lead with 'Ridge Wallet' even for cases/keycases, then material: 'MagSafe Carbon Fiber 3K'. Phone case -> 'Ridge Wallet Case iPhone <model>'."
20,Jeffree Star Cosmetics BYOB Star-Studded College Survival,strong_new,2-best odds,Jeffree Star {product},Strong new-in-box market for PALETTES. Our rows are apparel/bundles - thinner. Try product name without 'Cosmetics'.
21,Ridge Phone Case - Tobacco Brown Leather,strong_new,2-best odds,Ridge Wallet {material},"Active new market. Sellers lead with 'Ridge Wallet' even for cases/keycases, then material: 'MagSafe Carbon Fiber 3K'. Phone case -> 'Ridge Wallet Case iPhone <model>'."
22,Ridge Phone Case - Lavender,strong_new,2-best odds,Ridge Wallet {material},"Active new market. Sellers lead with 'Ridge Wallet' even for cases/keycases, then material: 'MagSafe Carbon Fiber 3K'. Phone case -> 'Ridge Wallet Case iPhone <model>'."
23,Ridge Keychain,strong_new,2-best odds,Ridge Wallet {material},"Active new market. Sellers lead with 'Ridge Wallet' even for cases/keycases, then material: 'MagSafe Carbon Fiber 3K'. Phone case -> 'Ridge Wallet Case iPhone <model>'."
24,Allbirds Men s Slide,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
25,Allbirds Women s Slide,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
26,Allbirds Men s Tree Skipper,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
27,Allbirds Women s Tree Piper,used_mostly,3-expect close/used,Allbirds {line} men's/women's,Many listings but predominantly PRE-OWNED one-offs. New-condition comps thin. Expect close (used market) rather than exact-new; note condition in match_notes.
28,Red Bull Rampage Frenzy Bucket Hat One,strong_new,2-best odds,Red Bull Racing {product} {year/GP},Official F1 merch resells actively incl. Vegas GP special editions. Sellers write 'Red Bull Racing' + item + edition/year.
29,Gymshark | Be a visionary. Chainstitch Graphic,strong_new,2-best odds,Gymshark {line} {generation},New sealed listings exist. Vocabulary is line + generation: 'Vital Seamless 2.0'. Ours is 'Vital Warm' - search 'Gymshark Vital Warm leggings'.
30,Gymshark | Be a visionary. Leather Lifting,strong_new,2-best odds,Gymshark {line} {generation},New sealed listings exist. Vocabulary is line + generation: 'Vital Seamless 2.0'. Ours is 'Vital Warm' - search 'Gymshark Vital Warm leggings'.
